"Regio's";"Perioden";"m3";"m3";"m3";"m3";"m3";"m3";"%";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh"
"Borger-Odoorn";"2011";"2050";"1100";"1500";"1750";"1800";"2450";"0.0";"3700";"2150";"2850";"3050";"3350";"4300"
"Borger-Odoorn";"2012*";"2250";"1100";"1650";"1850";"1950";"2650";"0.0";"3700";"2200";"2800";"3050";"3350";"4250"
"Borne";"2010";"2300";"1350";"1850";"2150";"2500";"3200";"0.0";"3750";"2200";"3450";"3700";"4050";"4800"
"Borne";"2011";"1800";"1000";"1450";"1750";"2050";"2650";"0.0";"3700";"2150";"3400";"3650";"4000";"4800"
"Borne";"2012*";"2000";"1150";"1600";"1900";"2250";"2950";"0.0";"3700";"2200";"3350";"3600";"3950";"4800"
"Borsele";"2010";"1950";"1050";"1550";"1750";"1950";"2450";"0.0";"3400";"1950";"2850";"3050";"3550";"3950"
"Borsele";"2011";"1500";"800";"1200";"1350";"1500";"1900";"0.0";"3400";"2050";"2900";"3050";"3500";"4000"
"Borsele";"2012*";"1600";"850";"1300";"1450";"1600";"2000";"0.0";"3300";"2000";"2850";"2950";"3400";"3850"
"Boskoop";"2010";"2000";"1150";"1600";"2000";"2450";"3200";"0.0";"3450";"2300";"3300";"3600";"3950";"4500"
"Boskoop";"2011";"1500";"850";"1200";"1550";"1850";"2400";"0.0";"3450";"2350";"3250";"3550";"3950";"4500"
"Boskoop";"2012*";"1600";"1000";"1350";"1650";"2050";"2600";"0.0";"3300";"2300";"3200";"3500";"3950";"4500"
"Boxmeer";"2010";"2200";"1050";"1700";"1850";"2250";"3000";"0.0";"3900";"2250";"3350";"3500";"4000";"4850"
"Boxmeer";"2011";"1750";"800";"1350";"1500";"1750";"2350";"0.0";"3900";"2250";"3250";"3400";"4000";"4850"
"Boxmeer";"2012*";"1800";"850";"1400";"1550";"1850";"2500";"0.0";"3850";"2200";"3250";"3400";"3950";"4800"
"Boxtel";"2010";"2050";"1150";"1850";"2100";"2450";"3200";"0.0";"3600";"2250";"3450";"3650";"4200";"5000"
"Boxtel";"2011";"1600";"900";"1400";"1650";"1900";"2550";"0.0";"3600";"2200";"3450";"3650";"4250";"5000"
"Boxtel";"2012*";"1700";"1000";"1500";"1750";"2050";"2750";"0.0";"3500";"2200";"3400";"3550";"4100";"4900"
"Breda";"2010";"1650";"1150";"1500";"1800";"2500";"3450";"16.0";"3300";"2350";"3450";"3650";"4100";"5050"
"Breda";"2011";"1250";"850";"1150";"1400";"1900";"2650";"16.0";"3300";"2300";"3450";"3600";"4050";"5100"
"Breda";"2012*";"1350";"900";"1200";"1500";"2050";"2900";"16.0";"3250";"2300";"3400";"3600";"4000";"5000"
"Brielle";"2010";"1900";"1200";"1750";"2050";"2250";"2900";"0.0";"3600";"2700";"3550";"3650";"3950";"4850"
"Brielle";"2011";"1500";"900";"1400";"1600";"1800";"2300";"0.0";"3600";"2650";"3550";"3650";"3950";"4950"
"Brielle";"2012*";"1500";"1000";"1400";"1650";"1850";"2350";"0.0";"3450";"2500";"3450";"3550";"3950";"4850"
"Bronckhorst";"2010";"2450";"1200";"1800";"1950";"2400";"3150";"0.0";"3900";"2500";"3100";"3150";"4050";"4600"
"Bronckhorst";"2011";"1950";"950";"1450";"1550";"1950";"2500";"0.0";"3900";"2450";"3100";"3150";"4100";"4650"
"Bronckhorst";"2012*";"2000";"1000";"1500";"1600";"2000";"2600";"0.0";"3800";"2450";"3050";"3050";"4050";"4550"
"Brummen";"2010";"2300";"1300";"1700";"1950";"2350";"3400";"0.0";"3650";"2500";"2950";"3150";"3950";"4650"
"Brummen";"2011";"1800";"1050";"1300";"1500";"1850";"2650";"0.0";"3600";"2500";"2900";"3150";"3850";"4650"
"Brummen";"2012*";"1850";"1100";"1350";"1550";"1950";"2800";"0.0";"3450";"2500";"2800";"3050";"3800";"4500"
"Brunssum";"2010";"2000";"1250";"1900";"2200";"2450";"3400";"0.0";"3400";"2350";"3500";"3600";"3950";"4800"
"Brunssum";"2011";"1450";"950";"1400";"1650";"1850";"2500";"0.0";"3250";"2200";"3350";"3450";"3800";"4700"
"Brunssum";"2012*";"1600";"1000";"1550";"1800";"2000";"2700";"0.0";"3250";"2200";"3300";"3450";"3750";"4600"
"Bunnik";"2010";"2250";"1200";"2050";"2350";"2650";"3650";"0.0";"3750";"2200";"3700";"3900";"4050";"5050"
"Bunnik";"2011";"1700";"900";"1550";"1800";"1950";"2700";"0.0";"3650";"2050";"3600";"3800";"3950";"4900"
"Bunnik";"2012*";"1850";"950";"1650";"1900";"2150";"2900";"0.0";"3550";"2050";"3500";"3700";"3900";"4850"
"Bunschoten";"2010";"2150";"1100";"1850";"2250";"2750";"3550";"0.0";"4000";"2400";"3900";"4200";"4600";"5450"
"Bunschoten";"2011";"1700";"850";"1450";"1800";"2200";"2850";"0.0";"4000";"2400";"3850";"4150";"4600";"5450"
"Bunschoten";"2012*";"1700";"900";"1500";"1850";"2250";"2900";"0.0";"3900";"2350";"3800";"4050";"4500";"5450"
"Buren";"2010";"2450";"1200";"1750";"1950";"2400";"3250";"0.0";"4050";"2250";"3300";"3450";"4200";"4850"
"Buren";"2011";"1950";"950";"1400";"1550";"1900";"2550";"0.0";"4100";"2250";"3300";"3450";"4200";"4900"
"Buren";"2012*";"2000";"1000";"1450";"1600";"1950";"2600";"0.0";"4000";"2500";"3250";"3350";"4050";"4800"
"Bussum";"2010";"2350";"1350";"2100";"2650";"3600";"5100";"0.0";"3250";"2150";"3150";"3800";"4500";"5400"
"Bussum";"2011";"1850";"1050";"1650";"2100";"2850";"4050";"0.0";"3300";"2200";"3150";"3800";"4550";"5550"
"Bussum";"2012*";"1950";"1150";"1750";"2200";"3000";"4350";"0.0";"3250";"2200";"3100";"3700";"4500";"5500"
"Capelle aan den IJssel";"2010";"1150";"950";"1200";"1550";"2100";"3200";"29.0";"3200";"2550";"3800";"3900";"4600";"5350"
"Capelle aan den IJssel";"2011";"900";"700";"900";"1200";"1600";"2500";"29.0";"3150";"2500";"3750";"3850";"4550";"5400"
"Capelle aan den IJssel";"2012*";"950";"750";"1000";"1250";"1700";"2600";"29.0";"3100";"2450";"3650";"3800";"4450";"5350"
"Castricum";"2010";"2200";"1250";"1950";"2250";"2550";"3100";"0.0";"3450";"1950";"3400";"3550";"3900";"4550"
"Castricum";"2011";"1700";"900";"1550";"1800";"2050";"2500";"0.0";"3450";"2000";"3450";"3600";"3950";"4550"
"Castricum";"2012*";"1800";"950";"1650";"1850";"2150";"2600";"0.0";"3350";"1950";"3350";"3450";"3800";"4450"
"Coevorden";"2010";"2450";"1300";"1900";"2150";"2300";"3100";"0.0";"3650";"2000";"2950";"3150";"3750";"4450"
"Coevorden";"2011";"1950";"1050";"1500";"1700";"1800";"2450";"0.0";"3600";"1950";"2950";"3100";"3700";"4450"
"Coevorden";"2012*";"2000";"1150";"1600";"1800";"1900";"2600";"0.0";"3550";"2000";"2900";"3100";"3650";"4350"
